"Ob","RealWage","WageNew"
1,26735,17213.2173178946
2,3709,11432.6714790114
3,4720,3753.09152357974
4,31062,17213.215629941
5,43797,17213.2496134799
6,7005,4578.40111127248
7,4331,17213.2156257467
8,5997,3753.09152359033
9,432,4053.49002384983
10,29925,18730.5767766284
11,1687,3753.0915235736
12,2381,3753.09152605954
13,3751,4053.48996993966
14,3647,11432.6714790114
15,86383,69589.2860898532
16,1477,3753.09152357974
17,2424,3753.09152357359
18,1702,11432.6714790114
19,24387,4578.40111166247
20,1471,3753.09152357362
21,23040,4578.40111428467
22,3513,3753.09152357442
23,4841,4578.40111130759
24,1425,3753.09152357362
25,1361,4053.48996997075
26,2867,4578.40111125242
27,3708,4578.40111125481
28,23184,4053.48997005525
29,1833,11432.6714790114
30,1257,3753.09152357358
31,5497,3753.09152359033
32,4919,3753.09152357974
33,4896,3753.09152357389
34,1655,3753.09152357442
35,3498,3753.09152361912
36,5987,18730.5766850385
37,27645,18730.5767186797
38,1898,3753.09152357358
39,16130,3753.09153033111
40,3789,11432.6714790114
41,5048,3753.09152361912
42,7077,3753.09152369735
43,2807,17213.2156257466
44,1785,3753.09152357358
45,2302,11432.6714790114
46,40616,4053.4899709093
47,2876,4578.40111125306
48,4905,3753.09152369735
49,2686,3753.09152359033
50,3265,4578.40111125956
51,1263,3753.09152357585
52,23780,3753.0915735053
53,18274,4578.40111236768
54,35685,4053.48997721997
55,1617,3753.0915235737
56,346,4578.40111125205
57,4861,3753.09152357442
58,1570,4053.48996992157
59,19764,4578.40113366023
60,9769,4053.4899709093
61,17926,18730.5767766284
62,9560,4578.40113366023
63,3002,11432.6714790114
64,1753,11432.6714790114
65,3691,3753.0915235737
66,5114,3753.09152357362
67,190545,48990.9525177592
68,2525,4053.48996992157
69,1249,4053.48996992158
70,3883,4578.40111127248
71,1294,3753.09152357974
72,3980,3753.09152357585
73,1726,11432.6714790114
74,21969,4578.40156133253
75,837,4578.40111140303
76,20987,3753.09152359033
77,50759,17213.216248253
78,1685,11432.6714790114
79,1406,4578.40111125206
80,6059,11432.6714790114
81,1507,18730.5766849549
82,2765,3753.09152359033
83,1512,4053.48996992158
84,7167,3753.09152361912
85,1169,4578.40111125205
86,5521,11432.6714790114
87,3847,3753.09152357585
88,5385,3753.09152391002
89,1778,4053.48996993966
90,3955,3753.09152357974
91,1339,3753.09152357358
92,37035,4578.4256848784
93,6059,3753.09152369735
94,1675,4053.48996992247
95,6110,3753.09152391002
96,1199,18730.5773623358
97,47485,17213.2157099936
98,11969,3753.09152448811
99,1160,11432.6714790114
100,1260,3753.09152361912
101,2918,4053.48996992402
102,1167,3753.0915235736
103,29994,4578.40111949556
104,2684,18730.5766849549
105,3048,3753.09152357389
106,1516,3753.09152357362
107,5837,11432.6714790114
108,61171,17213.2173178946
109,50734,4578.40113366023
110,13045,69589.2792489095
111,1210,3753.09152357358
112,3015,4053.48996992158
113,15055,4053.48996993966
114,3122,3753.09152357442
115,58726,18730.5785262673
116,607,4053.48996992158
117,3725,4578.40111125242
118,3095,4578.40111125306
119,2856,4578.40111125956
120,4740,4578.40111125481
121,7108,4578.40111949556
122,4216,4053.48996992247
123,17422,4053.4899709093
124,3724,3753.09152357442
125,5108,4053.48996992822
126,4891,4053.48996992822
127,69577,4053.49036840057
128,5849,4053.4899709093
129,84152,18730.8499619323
130,43017,4053.4899726065
131,44533,17213.215629941
132,1390,3753.0915235737
133,3315,3753.09152357358
134,2797,3753.09152357442
135,14144,4053.4901165138
136,2435,4053.48996992157
137,3159,11432.6714790114
138,22509,4578.40117216381
139,8166,3753.09152448811
140,3474,3753.09152369735
141,5092,3753.0915235737
142,2311,3753.09152357358
143,1289,3753.09152357362
144,1527,3753.09152357389
145,2779,11432.6714790114
146,2573,4578.40111125242
147,1916,3753.0915235737
148,8073,4053.48997721997
149,3600,17213.2156257471
150,16109,4578.40113366023
151,10558,4053.48998976067
152,1364,3753.09152357358
153,6728,4578.40111166247
154,3496,3753.09152357442
155,1474,3753.09152357358
156,5404,4578.40111125306
157,8198,4578.40111125481
158,9612,4578.40111236768
159,2478,17213.2156257471
160,5828,4053.48996997075
161,2444,4053.48996993966
162,2738,3753.09152357358
163,1514,3753.09152357362
