"Ob","RealWage","WageNew"
1,26735,23135.0482859851
12,2381,3720.09611534732
13,3751,4919.8604074271
14,3647,1535.99436893874
18,1702,2694.94173371417
21,23040,13992.7875900066
26,2867,3849.76653524232
27,3708,4575.83424849127
32,4919,3499.31101669372
34,1655,2936.12280825055
36,5987,8753.73752637977
38,1898,1089.17049886034
43,2807,4804.18433593056
44,1785,1425.13015611468
50,3265,3499.31101669372
52,23780,11771.2563099409
53,18274,12705.4385944622
57,4861,4194.29748300581
59,19764,10645.096003315
61,17926,17040.8814580855
65,3691,3538.30913851876
67,190545,127285.957248189
69,1249,1178.66290849185
71,1294,3499.31101669372
73,1726,1428.4246748524
78,1685,1638.42582626144
89,1778,2327.2521473786
90,3955,3499.31101669372
92,37035,45551.4298016556
100,1260,2549.25422715164
104,2684,5529.05753585274
107,5837,3849.76653524232
108,61171,46804.8821495351
110,13045,20128.4598504235
117,3725,6162.78285775337
120,4740,7325.08649767972
124,3724,4194.29748300581
125,5108,4998.82067205429
129,84152,101734.515512187
136,2435,1324.05386773549
142,2311,1657.71907577308
147,1916,1505.87237453897
150,16109,13681.5823407819
151,10558,7451.85798050527
158,9612,7936.83201980736
162,2738,1791.50681432229
165,2406,4998.82067205429
170,2581,4575.83424849127
171,1905,2476.91304833274
177,2431,3499.31101669372
178,2510,2694.94173371417
180,1203,1178.66290849185
184,4230,2194.19204722894
189,1761,4530.45660177051
191,3694,2694.94173371417
193,5078,5468.28382002037
197,3619,3499.31101669372
199,4819,3256.44219254777
200,13488,8741.01305240522
202,1710,2769.4735695159
203,31159,25686.3441913759
205,3677,3827.94804398166
207,11309,7936.83201980736
211,1758,2549.25422715164
212,1634,3827.94804398166
214,6101,4599.29926840131
216,1446,1785.05508224216
222,4823,7216.37056837436
225,1334,2476.91304833274
237,10586,4599.29926840131
240,6819,7216.37056837436
260,6052,8916.04489735103
264,2146,1231.80793249073
267,1230,1385.91235108803
268,1304,866.426915413947
272,1510,1785.05508224216
274,11806,8741.01305240522
278,2913,2694.94173371417
284,1272,2476.91304833274
286,1272,4804.18433593056
287,5170,5989.91633079116
288,1664,3001.07735620319
292,1610,4194.29748300581
296,13216,6748.03852862622
300,3189,2279.59848676181
302,3184,2279.59848676181
303,1635,2476.91304833274
304,2309,2476.91304833274
309,1311,3203.2089660319
314,25686,16050.1709757804
316,24319,20865.3051589564
318,1771,2302.5295391032
322,2597,3001.07735620319
328,12805,20128.4598504235
330,9655,9639.67887729713
331,1538,1938.70714875362
334,1406,804.976235708576
336,1788,999.93629080796
340,1998,4096.81120253294
341,9709,8741.01305240522
351,3849,3720.09611534732
354,13529,18843.6612810233
355,3061,3463.66695255146
356,10366,13034.13659099
357,1151,1785.05508224216
360,4813,4804.18433593056
368,6695,7936.83201980736
369,23407,24218.767340176
374,49529,59490.3747874466
376,1215,2279.59848676181
377,1854,2105.78259174729
378,1266,3720.09611534732
381,1540,1638.42582626144
383,1583,1938.70714875362
389,2533,2279.59848676181
401,17869,28557.5143073979
410,5324,4193.10505027524
414,3973,3512.50628096338
415,4773,3499.31101669372
420,2056,1938.70714875362
423,6014,3203.2089660319
429,16985,10517.6606730999
433,4614,5555.99921393973
436,2353,2694.94173371417
438,2673,2769.4735695159
444,5350,3001.07735620319
445,2033,1938.70714875362
447,9280,7936.83201980736
450,5325,2694.94173371417
452,13658,10645.096003315
453,2455,3538.30913851876
455,5958,6570.17114231004
473,12410,8741.01305240522
478,8852,5051.6565180321
480,27789,29661.9220223353
482,3467,2100.83612585289
483,1355,697.660221919956
487,1889,2279.59848676181
491,11311,17040.8814580855
496,2044,1505.87237453897
497,41014,35981.6053876534
499,7206,6118.94790352122
503,55644,29661.9220223353
507,14407,13992.7875900066
508,1609,1147.53662806605
509,6032,7936.83201980736
520,1311,2936.12280825055
521,1185,2100.83612585289
524,4789,5468.28382002037
525,1225,1938.70714875362
527,4667,9588.77722709832
536,1310,4096.81120253294
539,219333,160117.033911004
542,1599,2100.83612585289
543,1731,2476.91304833274
551,11344,10645.096003315
553,1664,6828.92301688735
557,25680,25686.3441913759
559,13849,10645.096003315
566,4905,3203.2089660319
575,47668,46287.098605392
576,1353,2936.12280825055
582,1889,1891.43171709362
599,1334,3849.76653524232
600,1192,1791.50681432229
603,53766,31219.4886457675
604,1622,1938.70714875362
