"","Date","^GSPC","BHP","GOLD","VALE","GOOG","T","NFLX","AMZN","MCD","TSLA","WMT","KO","COST","XOM","CVX","TRP","BRK-B","V","JPM","JNJ","AMGN","CVS","UNP","BA","GE","DLR","BXP","O","MSFT","AAPL","NVDA"
"1","2017-01-01",2278.870117,33.290997,17.739759,9.149951,796.789978,34.584377,140.710007,823.47998,113.085571,251.929993,62.013908,37.35162,151.956802,73.003128,97.945915,38.373901,164.139999,80.947617,76.696121,103.858459,142.679779,71.138527,99.229202,151.513748,26.249582,96.11689,119.271141,51.63382,61.089279,115.646774,107.967178
"2","2017-02-01",2363.639893,30.493235,17.874443,9.30275,823.210022,34.679291,142.130005,845.039978,117.772491,249.990005,65.907211,37.702045,164.21904,70.766663,98.957466,37.374325,171.419998,86.066208,82.578964,112.075424,160.756088,73.175987,100.495415,167.098999,26.346807,96.447304,126.678886,53.251156,60.456188,130.551743,100.352707
"3","2017-03-01",2362.719971,29.283819,18.296749,8.538755,829.559998,34.480122,147.809998,886.539978,120.460999,278.299988,66.975777,38.133331,155.841858,72.019707,95.34903,37.504345,166.679993,87.14193,80.045654,114.977173,150.439941,71.287109,99.177078,165.385056,26.556517,95.009514,120.647003,51.903343,62.609928,137.501846,107.855911
"4","2017-04-01",2384.199951,29.317938,16.109617,7.711845,905.960022,32.886818,152.199997,924.98999,130.052521,314.070007,70.369904,39.113495,164.97731,71.70356,94.754036,38.253399,165.210007,89.446236,79.28019,113.980186,149.752274,74.865089,104.832558,172.837936,25.834677,103.481895,116.015739,51.056885,65.081627,137.492264,103.271561
"5","2017-05-01",2411.800049,28.897932,15.936186,7.775663,964.859985,32.355934,163.070007,994.619995,140.238846,341.01001,73.571098,41.216476,167.681686,70.693665,91.894562,38.261639,165.279999,93.378265,75.724319,118.392799,142.34346,70.219238,103.278244,175.456284,24.399916,106.500565,111.177177,48.236252,66.393517,146.211731,142.926636
"6","2017-06-01",2423.409912,29.309704,15.38565,8.128681,908.72998,31.684122,149.410004,968,142.348648,361.609985,71.311958,40.654469,155.086182,71.565117,93.59185,39.266571,169.369995,92.119621,84.250801,122.932129,159.063751,73.536896,102.542267,186.335297,24.070181,101.778809,112.735039,48.641781,65.90403,138.415375,143.285339
"7","2017-07-01",2470.300049,34.308575,16.352694,9.317789,930.5,32.75061,181.660004,987.780029,145.092758,323.470001,75.373199,41.893814,153.709213,70.953453,97.951645,42.668056,174.970001,97.797295,84.619514,123.331711,161.169434,73.052513,96.940147,228.464523,23.223152,104.782021,111.477074,50.486973,69.50853,142.942078,161.077026
"8","2017-08-01",2471.649902,35.823883,17.3971,10.283941,939.330017,31.86701,174.710007,980.599976,149.60997,355.899994,73.564018,41.628777,151.992813,67.664635,96.543221,42.400955,181.160004,101.687157,84.241516,123.006477,164.180237,71.144997,99.143326,225.826126,22.261946,107.507401,111.191254,51.115944,71.487656,157.617828,167.945953
"9","2017-09-01",2519.360107,33.377975,15.58618,9.354949,959.109985,33.321693,181.350006,961.349976,147.402359,341.100006,74.093117,41.135265,159.823517,73.377625,106.465401,41.257477,183.320007,103.543198,88.523582,121.581924,173.357971,74.806213,109.824997,240.964951,21.926428,107.498314,113.293365,50.976055,71.599403,148.703979,177.349686
"10","2017-10-01",2575.26001,34.413036,13.997532,9.094831,1016.640015,28.62587,196.429993,1105.280029,157.026596,331.529999,82.788193,42.356125,156.700775,74.603867,105.006584,40.133656,186.940002,108.206772,93.250526,130.372574,162.916519,63.040691,109.654541,244.538559,18.471134,108.427933,112.412453,48.014561,79.952187,163.09967,205.166885
