"","Date","^GSPC","BHP","GOLD","VALE","GOOG","T","NFLX","AMZN","MCD","TSLA","WMT","KO","COST","XOM","CVX","TRP","BRK-B","V","JPM","JNJ","AMGN","CVS","UNP","BA","GE","DLR","BXP","O","MSFT","AAPL","NVDA"
"1","2012-01-01",1312.410034,53.255589,43.571106,19.640293,288.971863,18.587271,17.171429,194.440002,77.057259,29.07,50.095016,25.737213,65.193512,62.824066,75.124489,25.554728,78.370003,21.951355,29.406826,51.989628,55.832848,34.774612,45.635086,60.233089,13.885313,49.140244,84.887367,24.877752,24.291142,56.606174,13.594002
"2","2012-02-01",1365.680054,51.49918,42.2178,19.516085,307.970642,19.616966,15.818571,179.690002,77.236168,33.41,48.233601,26.625221,68.196838,64.894669,79.495605,27.378735,78.449997,25.382341,31.158987,51.33493,55.898613,37.707066,44.014259,60.858303,14.137633,50.277546,82.847778,25.313246,26.109074,67.265724,13.943748
"3","2012-03-01",1408.469971,49.223103,38.577045,18.110989,319.422729,20.027384,16.434286,202.509995,76.854225,37.240002,49.964386,28.206879,72.157761,65.423378,78.702766,26.768656,81.150002,25.935928,36.510963,52.488655,56.165901,37.456245,43.370518,60.742779,15.03167,51.296982,85.654228,26.681223,26.711521,74.347702,14.173844
"4","2012-04-01",1397.910034,50.51487,35.870972,17.233772,301.295685,21.10475,11.448571,231.899994,76.344994,33.130001,48.416317,29.516462,70.075676,65.129189,78.225601,27.655228,80.449997,27.030514,34.128788,51.804291,58.760578,37.305759,45.37199,62.727512,14.66468,52.607662,88.782745,27.203377,26.512798,72.416931,11.964931
"5","2012-05-01",1310.329956,41.832836,34.655479,14.558591,289.345459,22.222492,9.062857,212.910004,69.991394,29.5,54.095436,28.901531,68.653198,59.313286,72.16925,25.731054,79.360001,25.320499,26.495461,49.679596,57.446712,37.713867,44.952328,56.854996,14.297688,49.581074,84.419449,26.603405,24.169538,71.641876,11.440314
"6","2012-06-01",1362.160034,44.395977,33.500988,15.783071,288.951935,23.191517,9.784286,228.350006,69.899826,31.290001,57.689072,30.239677,75.745262,64.993042,78.144485,26.34729,83.330002,27.380009,28.557552,54.285236,60.555996,39.216038,48.666168,61.041828,15.608373,52.593643,88.881149,29.099426,25.494946,72.419403,12.719644
"7","2012-07-01",1379.319946,45.103039,29.318945,14.351859,315.303162,24.661304,8.121428,233.300003,70.555145,27.42,61.586288,31.678753,76.686104,65.965225,81.166565,28.891689,84.839996,28.584789,28.773352,55.619072,68.604111,37.974026,50.012241,60.721424,15.722727,55.258446,91.439278,28.805735,24.561493,75.737808,12.46194
"8","2012-08-01",1406.579956,44.735912,34.348103,13.016064,341.265839,24.12562,8.531428,248.270004,70.657791,28.52,60.072067,29.326384,78.033592,66.307022,83.077583,28.650141,84.339996,28.403185,29.932011,54.18079,69.700432,38.354,49.534985,58.659317,15.692412,52.73864,92.45343,29.560583,25.686636,82.493645,12.912922
"9","2012-09-01",1440.670044,46.64637,37.435642,14.232592,375.841248,24.82358,7.777143,254.320007,73.012306,29.280001,61.394863,29.741968,80.089363,69.910431,87.027855,28.923471,88.199997,29.941484,32.623798,55.873138,70.315559,40.770584,48.892426,57.523396,17.207855,49.440262,91.20015,28.792557,24.967503,83.079475,12.277859
"10","2012-10-01",1412.160034,48.953468,36.306099,14.56654,338.879791,22.775799,11.32,232.889999,69.073219,28.129999,62.409771,29.352037,78.706024,69.696419,82.309135,29.030989,86.349998,30.940426,33.590912,57.421783,72.150833,39.06971,50.675938,58.217651,16.084398,43.917496,88.083656,27.755306,23.943966,74.140106,11.026142
